miRNA	PositionUTR	seedmatch	context++score	context++scorepercentile	weightedcontext++score	conservedbranchlength	Pct
hsa-miR-7114-5p	279-285	7mer-m8	-0.13	 82	-0.12	0.000	N/A
hsa-miR-4318	280-286	7mer-m8	-0.14	 83	-0.13	0.000	N/A
hsa-miR-943	282-289	8mer	-0.22	 93	-0.21	0.016	N/A
hsa-miR-3136-5p	283-289	7mer-1A	-0.15	 82	-0.14	0.016	N/A
hsa-miR-4439	283-289	7mer-1A	-0.10	 81	-0.09	0.016	N/A
hsa-miR-6844	287-293	7mer-1A	-0.06	 74	-0.05	0.000	N/A
hsa-miR-1248	289-296	8mer	-0.08	 76	-0.07	0.016	N/A
hsa-miR-6868-3p	290-296	7mer-m8	-0.11	 81	-0.10	0.000	N/A
hsa-miR-1237-3p	290-296	7mer-1A	-0.09	 77	-0.09	0.016	N/A
hsa-miR-6802-5p	300-306	7mer-1A	-0.10	 59	-0.10	0.000	N/A
hsa-miR-6800-5p	300-306	7mer-1A	-0.05	 43	-0.05	0.000	N/A
hsa-miR-6509-5p	301-307	7mer-1A	-0.02	 13	-0.02	0.000	N/A
hsa-miR-299-5p	304-310	7mer-1A	-0.01	 27	-0.01	0.932	N/A
hsa-miR-876-3p	306-313	8mer	-0.18	 85	-0.17	0.043	N/A
hsa-miR-323a-5p	307-313	7mer-1A	-0.09	 71	-0.09	0.276	N/A
hsa-miR-4456	308-314	7mer-m8	-0.15	 81	-0.15	0.223	N/A
hsa-miR-499b-5p	321-327	7mer-m8	-0.02	 37	-0.02	0.000	N/A
hsa-miR-377-3p	326-332	7mer-m8	-0.08	 64	-0.08	0.898	N/A
hsa-miR-4709-3p	341-347	7mer-m8	-0.12	 87	-0.12	0.000	N/A
hsa-miR-548l	347-353	7mer-m8	-0.02	 58	-0.02	0.016	N/A
hsa-miR-548n	348-354	7mer-m8	-0.02	 53	-0.02	0.043	N/A
hsa-miR-6512-3p	365-371	7mer-m8	-0.25	 95	-0.24	0.000	N/A
hsa-miR-6720-5p	365-371	7mer-m8	-0.24	 94	-0.23	0.000	N/A
hsa-miR-6849-3p	365-371	7mer-1A	-0.14	 87	-0.13	0.000	N/A
hsa-miR-5586-5p	366-372	7mer-m8	-0.16	 86	-0.15	0.000	N/A
hsa-miR-3606-3p	373-379	7mer-m8	-0.02	 78	-0.02	0.000	N/A
hsa-miR-513a-3p	373-379	7mer-m8	-0.02	 78	-0.02	0.000	N/A
hsa-miR-513c-3p	373-379	7mer-m8	-0.02	 78	-0.02	0.000	N/A
hsa-miR-4282	374-380	7mer-m8	-0.02	 66	-0.02	0.000	N/A
hsa-miR-8067	378-385	8mer	-0.03	 52	-0.03	0.000	N/A
hsa-miR-6508-5p	378-385	8mer	-0.03	 46	-0.03	0.000	N/A
hsa-miR-4525	400-406	7mer-m8	-0.09	 70	-0.08	0.000	N/A
hsa-miR-5010-5p	400-406	7mer-m8	-0.14	 69	-0.13	0.000	N/A
hsa-miR-6795-5p	401-407	7mer-m8	-0.25	 73	-0.24	0.000	N/A
hsa-miR-6887-5p	401-407	7mer-m8	-0.25	 72	-0.24	0.000	N/A
hsa-miR-6798-5p	405-411	7mer-m8	-0.22	 89	-0.21	0.031	N/A
hsa-let-7f-2-3p	409-415	7mer-m8	-0.02	 54	-0.02	0.375	N/A
hsa-miR-1185-2-3p	409-415	7mer-m8	-0.02	 52	-0.02	0.375	N/A
hsa-miR-1185-1-3p	409-415	7mer-m8	-0.02	 51	-0.02	0.375	N/A
hsa-miR-1284	410-416	7mer-m8	-0.10	 59	-0.09	0.226	N/A
hsa-miR-3613-3p	428-434	7mer-1A	-0.04	 73	-0.03	0.000	N/A
hsa-miR-551b-5p	431-438	8mer	-0.03	 87	-0.03	0.522	N/A
hsa-miR-5581-3p	440-447	8mer	-0.24	 94	-0.23	0.000	N/A
hsa-miR-6872-3p	440-446	7mer-1A	-0.01	 28	-0.01	0.000	N/A
hsa-miR-587	442-448	7mer-1A	-0.01	 25	-0.01	0.016	N/A
hsa-miR-30d-3p	450-456	7mer-1A	-0.01	 38	-0.01	0.287	N/A
hsa-miR-30a-3p	450-456	7mer-1A	-0.01	 38	-0.01	0.287	N/A
hsa-miR-30e-3p	450-456	7mer-1A	-0.01	 38	-0.01	0.287	N/A
hsa-miR-335-3p	451-457	7mer-1A	-0.01	 40	-0.01	0.239	N/A
hsa-miR-6500-3p	464-470	7mer-m8	-0.13	 89	-0.12	0.000	N/A
hsa-miR-4789-5p	468-474	7mer-m8	-0.06	 90	-0.06	0.223	N/A
hsa-miR-4762-3p	474-481	8mer	-0.11	 87	-0.10	0.000	N/A
hsa-miR-3192-3p	474-480	7mer-1A	-0.08	 81	-0.08	0.000	N/A
hsa-miR-627-3p	477-483	7mer-m8	-0.02	 38	-0.02	0.306	N/A
hsa-miR-6832-3p	479-486	8mer	-0.07	 70	-0.06	0.636	N/A
hsa-miR-4755-5p	481-487	7mer-m8	-0.07	 77	-0.07	0.000	N/A
hsa-miR-5006-3p	481-487	7mer-m8	-0.07	 77	-0.07	0.000	N/A
hsa-miR-623	481-487	7mer-1A	-0.07	 66	-0.06	0.000	N/A
hsa-miR-5582-5p	490-496	7mer-m8	-0.13	 79	-0.13	0.000	N/A
hsa-miR-548an	492-498	7mer-m8	-0.04	 53	-0.04	0.000	N/A
hsa-miR-3163	496-502	7mer-1A	-0.01	 45	-0.01	0.000	N/A
hsa-miR-4645-3p	508-514	7mer-m8	-0.17	 81	-0.16	0.000	N/A
hsa-miR-1324	510-516	7mer-m8	-0.17	 91	-0.16	0.495	N/A
hsa-miR-548t-3p	515-522	8mer	-0.03	 63	-0.03	0.175	N/A
hsa-miR-548aa	515-522	8mer	-0.03	 63	-0.03	0.175	N/A
hsa-miR-548ap-3p	515-522	8mer	-0.03	 63	-0.03	0.175	N/A
hsa-miR-548at-3p	516-522	7mer-1A	-0.17	 97	-0.16	0.175	N/A
hsa-miR-548ay-3p	516-522	7mer-1A	-0.12	 94	-0.11	0.175	N/A
hsa-miR-548as-3p	516-522	7mer-1A	-0.01	 48	-0.01	0.159	N/A
hsa-miR-2053	520-526	7mer-1A	-0.01	 46	-0.01	0.000	N/A
hsa-miR-651-3p	527-533	7mer-m8	-0.07	 83	-0.07	0.483	N/A
hsa-miR-340-5p	531-537	7mer-m8	-0.02	 76	-0.02	2.526	N/A
hsa-miR-142-5p	531-537	7mer-1A	-0.02	 71	-0.02	3.509	0.20
hsa-miR-5590-3p	531-537	7mer-1A	-0.03	 70	-0.02	3.509	0.20
hsa-miR-5000-5p	543-549	7mer-1A	-0.03	 57	-0.02	0.000	N/A
hsa-miR-1252-3p	556-562	7mer-m8	-0.04	 82	-0.04	0.000	N/A
hsa-miR-3662	557-563	7mer-m8	-0.02	 64	-0.02	0.000	N/A
hsa-miR-4495	567-573	7mer-1A	-0.04	 64	-0.04	0.000	N/A
hsa-miR-411-3p	567-573	7mer-1A	-0.01	 49	-0.01	1.760	N/A
hsa-miR-379-3p	567-573	7mer-1A	-0.01	 48	-0.01	1.760	N/A
hsa-miR-380-3p	567-573	7mer-1A	-0.01	 33	-0.01	0.244	N/A
hsa-miR-3924	568-574	7mer-1A	-0.05	 68	-0.04	0.000	N/A
hsa-miR-5585-3p	580-586	7mer-1A	-0.11	 89	-0.11	0.000	N/A
hsa-miR-338-5p	589-595	7mer-1A	-0.01	 35	-0.01	0.276	N/A
hsa-let-7c-3p	591-597	7mer-m8	-0.03	 46	-0.03	0.666	N/A
hsa-miR-4718	593-599	7mer-m8	-0.29	 93	-0.28	0.000	N/A
hsa-miR-302a-5p	601-608	8mer	-0.03	 83	-0.03	0.223	N/A
hsa-miR-4641	608-614	7mer-1A	-0.07	 50	-0.07	0.159	N/A
hsa-miR-4661-5p	614-620	7mer-m8	-0.02	 12	-0.02	0.000	N/A
hsa-miR-6733-5p	627-634	8mer	-0.15	 89	-0.14	0.000	N/A
hsa-miR-6739-5p	627-634	8mer	-0.15	 88	-0.14	0.000	N/A
hsa-miR-3153	627-634	8mer	-0.07	 82	-0.06	0.000	N/A
hsa-miR-4668-5p	628-634	7mer-1A	-0.05	 52	-0.04	0.000	N/A
hsa-miR-450a-1-3p	629-636	8mer	-0.14	 85	-0.13	0.031	N/A
hsa-miR-887-5p	630-636	7mer-1A	-0.16	 85	-0.15	0.000	N/A
hsa-miR-6513-5p	630-636	7mer-1A	-0.08	 84	-0.08	0.000	N/A
hsa-miR-3122	630-636	7mer-1A	-0.02	 76	-0.02	0.031	N/A
hsa-miR-3913-5p	630-636	7mer-1A	-0.04	 76	-0.03	0.031	N/A
hsa-miR-5002-5p	632-638	7mer-1A	-0.01	 32	-0.01	0.000	N/A
hsa-miR-1303	641-647	7mer-1A	-0.09	 69	-0.09	0.016	N/A
hsa-miR-33a-3p	645-652	8mer	-0.03	 74	-0.03	0.000	N/A
hsa-miR-409-3p	646-652	7mer-1A	-0.01	 57	-0.01	2.357	N/A
hsa-miR-1245b-3p	658-664	7mer-m8	-0.12	 82	-0.10	0.000	N/A
hsa-miR-5683	659-665	7mer-m8	-0.11	 82	-0.09	0.000	N/A
hsa-miR-5096	666-672	7mer-1A	-0.01	 44	-0.01	0.306	N/A
hsa-miR-1250-3p	668-674	7mer-m8	-0.02	 67	-0.02	0.000	N/A
hsa-miR-660-5p	671-677	7mer-m8	-0.11	 76	-0.09	0.408	N/A
hsa-miR-1273d	672-678	7mer-m8	-0.02	 55	-0.02	0.000	N/A
hsa-miR-29c-3p	678-684	7mer-m8	-0.11	 71	-0.10	2.763	0.28
hsa-miR-29a-3p	678-684	7mer-m8	-0.11	 70	-0.10	2.763	0.28
hsa-miR-29b-3p	678-684	7mer-m8	-0.11	 70	-0.10	2.763	0.28
hsa-miR-519c-3p	697-703	7mer-1A	-0.07	 69	-0.06	0.043	N/A
hsa-miR-519a-3p	697-703	7mer-1A	-0.07	 69	-0.06	0.043	N/A
hsa-miR-519b-3p	697-703	7mer-1A	-0.07	 69	-0.06	0.043	N/A
hsa-miR-373-3p	697-703	7mer-1A	-0.01	 29	-0.01	1.765	< 0.1
hsa-miR-302a-3p	697-703	7mer-1A	-0.01	 22	-0.01	1.765	< 0.1
hsa-miR-520e	697-703	7mer-1A	-0.01	 22	-0.01	1.765	< 0.1
hsa-miR-302d-3p	697-703	7mer-1A	-0.01	 22	-0.01	1.765	< 0.1
hsa-miR-302b-3p	697-703	7mer-1A	-0.01	 22	-0.01	1.765	< 0.1
hsa-miR-302e	697-703	7mer-1A	-0.01	 22	-0.01	1.765	< 0.1
hsa-miR-302c-3p.1	697-703	7mer-1A	-0.01	 22	-0.01	1.765	< 0.1
hsa-miR-520d-3p	697-703	7mer-1A	-0.01	 21	-0.01	1.765	< 0.1
hsa-miR-520a-3p	697-703	7mer-1A	-0.01	 21	-0.01	1.765	< 0.1
hsa-miR-372-3p	697-703	7mer-1A	-0.01	 21	-0.01	1.765	< 0.1
hsa-miR-520b	697-703	7mer-1A	-0.01	 21	-0.01	1.765	< 0.1
hsa-miR-520c-3p	697-703	7mer-1A	-0.01	 21	-0.01	1.765	< 0.1
hsa-miR-3192-3p	707-713	7mer-1A	-0.04	 69	-0.03	0.000	N/A
hsa-miR-4762-3p	707-713	7mer-m8	-0.02	 51	-0.02	0.000	N/A
hsa-miR-3182	709-715	7mer-1A	-0.01	 42	-0.01	0.137	N/A
hsa-miR-6740-3p	710-716	7mer-m8	-0.04	 43	-0.03	0.000	N/A
hsa-miR-2113	717-723	7mer-1A	-0.01	 42	-0.01	0.000	N/A
hsa-miR-5010-3p	717-723	7mer-1A	-0.01	 31	-0.01	0.000	N/A
hsa-miR-937-5p	726-733	8mer	-0.20	 94	-0.17	0.000	N/A
hsa-miR-5702	726-732	7mer-1A	-0.10	 68	-0.09	0.000	N/A
hsa-miR-8081	727-734	8mer	-0.27	 95	-0.23	0.000	N/A
hsa-miR-627-5p	727-733	7mer-1A	-0.10	 82	-0.09	0.043	N/A
hsa-miR-1270	734-740	7mer-m8	-0.12	 85	-0.11	0.000	N/A
hsa-miR-620	734-740	7mer-m8	-0.12	 84	-0.10	0.000	N/A
hsa-miR-4683	734-740	7mer-1A	-0.06	 67	-0.05	0.223	N/A
hsa-miR-3654	737-743	7mer-1A	-0.07	 82	-0.06	0.000	N/A
hsa-miR-1243	737-743	7mer-1A	-0.11	 79	-0.09	0.000	N/A
hsa-miR-200c-3p	739-745	7mer-m8	-0.05	 73	-0.04	2.211	0.22
hsa-miR-200b-3p	739-745	7mer-m8	-0.05	 73	-0.04	2.211	0.22
hsa-miR-429	739-745	7mer-m8	-0.03	 62	-0.02	2.211	0.22
hsa-miR-6507-5p	742-748	7mer-m8	-0.02	 59	-0.02	0.000	N/A
hsa-miR-514b-3p	748-754	7mer-1A	-0.07	 76	-0.06	0.031	N/A
hsa-miR-514a-3p	748-754	7mer-1A	-0.07	 75	-0.06	0.031	N/A
hsa-miR-129-5p	751-757	7mer-1A	-0.01	 47	-0.01	1.529	< 0.1
hsa-miR-208b-5p	766-772	7mer-m8	-0.07	 78	-0.06	0.276	N/A
hsa-miR-208a-5p	766-772	7mer-m8	-0.02	 57	-0.02	0.276	N/A
hsa-miR-27b-5p	768-774	7mer-1A	-0.22	 91	-0.19	0.031	N/A
hsa-miR-556-5p	769-776	8mer	-0.33	 98	-0.28	0.000	N/A
hsa-miR-4517	772-778	7mer-m8	-0.02	 39	-0.02	0.000	N/A
hsa-miR-4666a-3p	779-785	7mer-1A	-0.10	 93	-0.09	0.000	N/A
hsa-miR-381-3p	779-785	7mer-1A	-0.05	 84	-0.04	2.661	N/A
hsa-miR-98-3p	779-785	7mer-m8	-0.03	 52	-0.02	0.175	N/A
hsa-miR-300	779-785	7mer-1A	-0.01	 51	-0.01	2.661	N/A
hsa-let-7b-3p	779-785	7mer-m8	-0.02	 36	-0.02	0.175	N/A
hsa-let-7a-3p	779-785	7mer-m8	-0.02	 35	-0.02	0.175	N/A
hsa-let-7f-1-3p	779-785	7mer-m8	-0.02	 35	-0.02	0.175	N/A
hsa-miR-5011-5p	782-788	7mer-m8	-0.02	 37	-0.02	0.000	N/A
hsa-miR-181a-2-3p	794-801	8mer	-0.20	 93	-0.17	0.000	N/A
hsa-miR-6509-3p	795-801	7mer-m8	-0.14	 79	-0.12	0.000	N/A
hsa-miR-1273g-3p	795-801	7mer-1A	-0.11	 76	-0.09	0.000	N/A
hsa-miR-515-5p	798-804	7mer-1A	-0.12	 82	-0.10	0.031	N/A
hsa-miR-519e-5p	798-804	7mer-1A	-0.09	 77	-0.08	0.031	N/A
hsa-miR-5571-5p	800-807	8mer	-0.03	 81	-0.03	0.000	N/A
hsa-miR-410-3p	805-811	7mer-1A	-0.01	 55	-0.01	1.217	N/A
hsa-miR-4714-3p	810-816	7mer-m8	-0.08	 75	-0.07	0.000	N/A
hsa-miR-507	816-822	7mer-m8	-0.06	 82	-0.05	0.043	N/A
hsa-miR-557	816-822	7mer-m8	-0.02	 76	-0.02	0.043	N/A
hsa-miR-4775	820-826	7mer-1A	-0.01	 30	-0.01	0.000	N/A
hsa-miR-2053	822-828	7mer-m8	-0.02	 67	-0.02	0.000	N/A
hsa-miR-569	822-828	7mer-1A	-0.02	 35	-0.02	0.016	N/A
hsa-miR-3169	827-834	8mer	-0.25	 94	-0.22	0.000	N/A
hsa-miR-4759	828-834	7mer-1A	-0.14	 82	-0.12	0.000	N/A
hsa-miR-3117-3p	828-835	8mer	-0.19	 81	-0.16	0.016	N/A
hsa-miR-8083	828-834	7mer-1A	-0.07	 71	-0.06	0.000	N/A
hsa-miR-1258	830-836	7mer-m8	-0.05	 25	-0.04	0.043	N/A
hsa-miR-1284	839-845	7mer-1A	-0.08	 52	-0.07	0.016	N/A
hsa-miR-1301-5p	842-848	7mer-1A	-0.08	 55	-0.07	0.000	N/A
hsa-miR-6502-5p	842-848	7mer-1A	-0.08	 53	-0.07	0.000	N/A
hsa-miR-3907	844-850	7mer-m8	-0.16	 80	-0.14	0.159	N/A
hsa-miR-6503-3p	850-857	8mer	-0.03	 50	-0.03	0.000	N/A
hsa-miR-422a	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-378c	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-378h	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-378f	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-378i	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-378b	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-378d	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-378e	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-378a-3p	852-858	7mer-m8	-0.02	 27	-0.02	1.498	N/A
hsa-miR-3654	853-859	7mer-m8	-0.02	 57	-0.02	0.000	N/A
hsa-miR-653-3p	855-861	7mer-m8	-0.02	 53	-0.02	0.260	N/A
hsa-miR-370-5p	858-864	7mer-m8	-0.02	 53	-0.02	1.680	N/A
hsa-miR-1193	858-864	7mer-m8	-0.02	 48	-0.02	1.680	N/A
hsa-miR-761	862-868	7mer-m8	-0.02	 55	-0.02	0.408	N/A
hsa-miR-3619-5p	862-868	7mer-m8	-0.02	 46	-0.02	0.408	N/A
hsa-miR-214-3p	862-868	7mer-m8	-0.02	 43	-0.02	0.408	N/A
hsa-miR-4530	863-869	7mer-m8	-0.02	 38	-0.02	0.000	N/A
hsa-miR-200c-5p	863-874	non-canonical	N/A	N/A	N/A	0.000	N/A
hsa-miR-200c-5p	863-874	non-canonical	N/A	N/A	N/A	0.000	N/A
hsa-miR-4482-5p	866-872	7mer-1A	-0.08	 79	-0.07	0.137	N/A
hsa-miR-1295b-5p	866-872	7mer-1A	-0.09	 78	-0.08	0.000	N/A
hsa-miR-1912	866-872	7mer-1A	-0.08	 73	-0.07	0.000	N/A
hsa-miR-3130-5p	866-872	7mer-1A	-0.04	 59	-0.03	0.137	N/A
hsa-miR-5591-3p	867-873	7mer-1A	-0.05	 46	-0.04	0.000	N/A
hsa-miR-140-3p.1	875-881	7mer-1A	-0.13	 84	-0.12	1.559	0.15
hsa-miR-450b-5p	888-895	8mer	-0.03	 52	-0.03	0.031	N/A
hsa-miR-557	889-895	7mer-1A	-0.01	 51	-0.01	0.043	N/A
hsa-miR-507	889-895	7mer-1A	-0.01	 43	-0.01	0.043	N/A
hsa-miR-3680-3p	889-895	7mer-1A	-0.01	 33	-0.01	0.000	N/A
hsa-miR-4474-5p	895-901	7mer-1A	-0.08	 69	-0.07	0.000	N/A
hsa-miR-101-5p	910-916	7mer-1A	-0.03	 68	-0.02	0.000	N/A
hsa-miR-2682-3p	919-925	7mer-m8	-0.04	 53	-0.03	0.000	N/A
hsa-miR-6781-3p	919-925	7mer-m8	-0.03	 49	-0.03	0.000	N/A
hsa-miR-4757-5p	920-926	7mer-m8	-0.14	 83	-0.12	0.031	N/A
hsa-miR-6744-3p	920-926	7mer-m8	-0.08	 82	-0.07	0.031	N/A
hsa-miR-4512	922-928	7mer-m8	-0.16	 86	-0.14	0.000	N/A
hsa-miR-3918	923-929	7mer-m8	-0.23	 92	-0.20	0.000	N/A
hsa-miR-4524b-3p	926-932	7mer-m8	-0.02	 56	-0.02	0.000	N/A
hsa-miR-1324	927-933	7mer-m8	-0.04	 60	-0.03	0.016	N/A
hsa-miR-331-5p	934-940	7mer-1A	-0.10	 68	-0.08	0.031	N/A
hsa-miR-6509-5p	934-940	7mer-m8	-0.02	 14	-0.02	0.000	N/A
hsa-miR-3141	941-947	7mer-1A	-0.21	 78	-0.18	0.159	N/A
hsa-miR-548aw	949-956	8mer	-0.03	 73	-0.03	0.000	N/A
hsa-miR-1468-3p	949-955	7mer-1A	-0.04	 63	-0.03	0.000	N/A
hsa-miR-548f-5p	949-955	7mer-1A	-0.01	 35	-0.01	0.000	N/A
hsa-miR-548g-5p	949-955	7mer-1A	-0.01	 35	-0.01	0.000	N/A
hsa-miR-548aj-5p	949-955	7mer-1A	-0.01	 35	-0.01	0.000	N/A
hsa-miR-548x-5p	949-955	7mer-1A	-0.01	 35	-0.01	0.000	N/A
hsa-miR-527	950-956	7mer-1A	-0.01	 44	-0.01	0.016	N/A
hsa-miR-518a-5p	950-956	7mer-1A	-0.01	 44	-0.01	0.016	N/A
hsa-miR-3651	958-964	7mer-1A	-0.11	 69	-0.09	0.000	N/A
hsa-miR-5590-5p	963-970	8mer	-0.11	 76	-0.09	0.000	N/A
hsa-miR-4659a-5p	964-970	7mer-1A	-0.06	 63	-0.06	0.000	N/A
hsa-miR-4776-3p	964-970	7mer-m8	-0.05	 56	-0.04	0.000	N/A
hsa-miR-4659b-5p	964-970	7mer-1A	-0.03	 47	-0.03	0.000	N/A
hsa-miR-578	968-974	7mer-1A	-0.03	 67	-0.03	0.153	N/A
hsa-miR-3160-5p	970-976	7mer-m8	-0.02	 53	-0.02	0.000	N/A
hsa-miR-634	975-981	7mer-1A	-0.16	 84	-0.14	0.016	N/A
hsa-miR-4766-5p	992-998	7mer-m8	-0.02	 68	-0.02	0.239	N/A
hsa-miR-3140-5p	994-1000	7mer-1A	-0.08	 76	-0.07	0.000	N/A
hsa-miR-138-1-3p	1007-1013	7mer-m8	-0.06	 85	-0.05	0.000	N/A
hsa-miR-606	1009-1015	7mer-m8	-0.06	 62	-0.05	0.016	N/A
hsa-miR-4666a-3p	1015-1021	7mer-1A	-0.02	 60	-0.02	0.000	N/A
hsa-let-7b-3p	1015-1022	8mer	-0.03	 56	-0.03	0.031	N/A
hsa-let-7a-3p	1015-1022	8mer	-0.03	 54	-0.03	0.031	N/A
hsa-let-7f-1-3p	1015-1022	8mer	-0.03	 54	-0.03	0.031	N/A
hsa-miR-98-3p	1015-1022	8mer	-0.03	 54	-0.03	0.031	N/A
hsa-miR-300	1015-1021	7mer-1A	-0.01	 51	-0.01	1.061	N/A
hsa-miR-381-3p	1015-1021	7mer-1A	-0.01	 48	-0.01	1.061	N/A
hsa-let-7f-2-3p	1016-1022	7mer-1A	-0.02	 52	-0.01	0.137	N/A
hsa-miR-4789-5p	1016-1022	7mer-1A	-0.01	 51	-0.01	0.000	N/A
hsa-miR-1185-1-3p	1016-1022	7mer-1A	-0.01	 40	-0.01	0.137	N/A
hsa-miR-1185-2-3p	1016-1022	7mer-1A	-0.01	 40	-0.01	0.137	N/A
hsa-miR-4670-3p	1020-1026	7mer-m8	-0.02	 33	-0.02	0.000	N/A
hsa-miR-3653-3p	1023-1030	8mer	-0.03	 68	-0.03	0.000	N/A
hsa-miR-3658	1024-1031	8mer	-0.03	 60	-0.03	0.000	N/A
hsa-miR-7856-5p	1026-1032	7mer-1A	-0.01	 40	-0.01	0.000	N/A
hsa-miR-5003-5p	1033-1039	7mer-1A	-0.09	 68	-0.08	0.000	N/A
hsa-miR-6128	1039-1046	8mer	-0.03	 64	-0.03	0.043	N/A
hsa-miR-875-3p	1040-1046	7mer-1A	-0.06	 70	-0.05	0.031	N/A
hsa-miR-1299	1040-1046	7mer-m8	-0.06	 59	-0.05	0.016	N/A
hsa-miR-3126-3p	1042-1048	7mer-1A	-0.09	 76	-0.07	0.000	N/A
hsa-miR-1298-3p	1042-1048	7mer-1A	-0.13	 76	-0.11	0.223	N/A
hsa-miR-487a-5p	1046-1052	7mer-m8	-0.02	 49	-0.02	0.000	N/A
hsa-miR-487b-5p	1046-1052	7mer-m8	-0.02	 49	-0.02	0.000	N/A
hsa-miR-1207-3p	1050-1056	7mer-m8	-0.16	 89	-0.13	0.333	N/A
hsa-miR-3152-3p	1057-1063	7mer-1A	-0.01	 18	-0.01	0.000	N/A
hsa-miR-1207-3p	1062-1068	7mer-1A	-0.01	 34	-0.01	0.016	N/A
hsa-miR-6787-3p	1063-1070	8mer	-0.03	 64	-0.03	0.000	N/A
hsa-miR-6895-3p	1067-1073	7mer-m8	-0.09	 79	-0.08	0.000	N/A
hsa-miR-3184-3p	1069-1075	7mer-m8	-0.05	 71	-0.04	0.000	N/A
hsa-miR-548t-5p	1072-1078	7mer-1A	-0.01	 52	-0.01	0.000	N/A
hsa-miR-548az-5p	1072-1078	7mer-1A	-0.01	 51	-0.01	0.000	N/A
hsa-miR-548n	1072-1078	7mer-1A	-0.01	 41	-0.01	0.016	N/A
hsa-miR-3920	1077-1084	8mer	-0.12	 82	-0.10	0.000	N/A
hsa-miR-29a-5p	1078-1084	7mer-1A	-0.02	 47	-0.02	0.260	N/A
hsa-miR-1231	1081-1087	7mer-1A	-0.07	 76	-0.06	0.000	N/A
hsa-miR-4288	1081-1087	7mer-1A	-0.05	 67	-0.04	0.000	N/A
hsa-miR-632	1081-1087	7mer-1A	-0.02	 59	-0.01	0.000	N/A
hsa-miR-3125	1093-1099	7mer-m8	-0.08	 72	-0.07	0.000	N/A
hsa-miR-3916	1093-1099	7mer-m8	-0.07	 68	-0.06	0.000	N/A
hsa-miR-6859-5p	1093-1099	7mer-m8	-0.02	 40	-0.02	0.000	N/A
hsa-miR-921	1098-1105	8mer	-0.26	 93	-0.22	0.000	N/A
hsa-miR-3174	1098-1104	7mer-1A	-0.10	 86	-0.08	0.000	N/A
hsa-miR-3606-5p	1099-1105	7mer-1A	-0.12	 72	-0.11	0.000	N/A
hsa-miR-3591-5p	1100-1106	7mer-1A	-0.11	 79	-0.09	0.000	N/A
hsa-miR-561-3p	1104-1111	8mer	-0.03	 76	-0.03	0.000	N/A
hsa-miR-548at-5p	1105-1111	7mer-1A	-0.05	 78	-0.04	0.000	N/A
hsa-miR-555	1109-1115	7mer-1A	-0.16	 72	-0.14	0.016	N/A
hsa-miR-1225-5p	1110-1116	7mer-1A	-0.13	 83	-0.11	0.031	N/A
hsa-miR-1229-5p	1110-1116	7mer-1A	-0.14	 82	-0.12	0.000	N/A
hsa-miR-1303	1125-1131	7mer-m8	-0.13	 80	-0.12	0.016	N/A
hsa-miR-5590-5p	1132-1139	8mer	-0.25	 95	-0.21	0.000	N/A
hsa-miR-4776-3p	1133-1140	8mer	-0.23	 93	-0.20	0.000	N/A
hsa-miR-4659a-5p	1133-1139	7mer-1A	-0.15	 82	-0.13	0.000	N/A
hsa-miR-4659b-5p	1133-1139	7mer-1A	-0.13	 80	-0.11	0.000	N/A
hsa-miR-129-5p	1136-1142	7mer-m8	-0.02	 81	-0.02	0.093	< 0.1
hsa-miR-153-5p	1138-1144	7mer-m8	-0.02	 50	-0.02	0.322	N/A
hsa-miR-1287-3p	1144-1150	7mer-m8	-0.18	 83	-0.16	0.260	N/A
hsa-miR-8078	1146-1152	7mer-1A	-0.02	 29	-0.02	0.223	N/A
hsa-miR-609	1150-1156	7mer-1A	-0.11	 66	-0.09	0.043	N/A
hsa-miR-4455	1150-1156	7mer-1A	-0.14	 61	-0.12	0.000	N/A
hsa-miR-6772-5p	1150-1156	7mer-1A	-0.09	 54	-0.08	0.000	N/A
hsa-miR-4506	1152-1158	7mer-m8	-0.09	 73	-0.08	0.000	N/A
hsa-miR-8066	1160-1166	7mer-m8	-0.04	 57	-0.03	0.000	N/A
hsa-miR-206	1162-1168	7mer-m8	-0.10	 76	-0.09	2.660	0.20
hsa-miR-1-3p	1162-1168	7mer-m8	-0.08	 71	-0.07	2.660	0.20
hsa-miR-613	1162-1168	7mer-m8	-0.05	 57	-0.04	2.660	0.20
hsa-miR-6716-5p	1163-1170	8mer	-0.20	 87	-0.18	0.000	N/A
hsa-miR-5683	1169-1175	7mer-m8	-0.02	 42	-0.02	0.000	N/A
hsa-miR-542-3p	1172-1178	7mer-m8	-0.15	 84	-0.13	2.021	N/A
hsa-miR-7855-5p	1175-1181	7mer-1A	-0.07	 65	-0.06	0.000	N/A
