miRNA,Position in the UTR,seed match,context++ score,context++ score percentile,weighted context++ score,conserved branch length,Pct
hsa-miR-105-5p,1659-1665,7mer-1A,"-0,01",48,"-0,01","0,408",N/A
hsa-miR-607,1660-1666,7mer-m8,"-0,02",69,"-0,02",0,N/A
hsa-miR-3671,1660-1666,7mer-1A,"-0,01",27,"-0,01",0,N/A
hsa-miR-3135a,1670-1676,7mer-1A,"-0,07",44,"-0,06",0,N/A
hsa-miR-6882-3p,1672-1678,7mer-m8,"-0,12",72,"-0,1",0,N/A
hsa-miR-647,1674-1680,7mer-m8,"-0,07",79,"-0,06",0,N/A
hsa-miR-604,1674-1680,7mer-1A,"-0,1",72,"-0,09","0,013",N/A
hsa-miR-6762-3p,1674-1680,7mer-1A,"-0,03",37,"-0,03","0,27",N/A
hsa-miR-889-5p,1675-1682,8mer,"-0,11",73,"-0,1","0,048",N/A
hsa-miR-135a-5p,1676-1682,7mer-1A,"-0,01",23,"-0,01","1,025",< 0.1
hsa-miR-135b-5p,1676-1682,7mer-1A,"-0,01",23,"-0,01","1,025",< 0.1
hsa-miR-17-3p,1682-1688,7mer-m8,"-0,13",90,"-0,11","0,302",N/A
hsa-miR-509-5p,1683-1689,7mer-m8,"-0,17",93,"-0,15",0,N/A
hsa-miR-509-3-5p,1683-1689,7mer-m8,"-0,16",92,"-0,14",0,N/A
hsa-miR-4418,1683-1689,7mer-m8,"-0,11",86,"-0,1",0,N/A
hsa-miR-5002-3p,1685-1691,7mer-1A,"-0,09",63,"-0,08",0,N/A
hsa-miR-549a,1691-1698,8mer,"-0,13",77,"-0,12","0,013",N/A
hsa-miR-6846-3p,1700-1706,7mer-1A,"-0,11",71,"-0,1",0,N/A
hsa-miR-6859-3p,1700-1706,7mer-1A,"-0,05",48,"-0,04",0,N/A
hsa-miR-6716-5p,1705-1711,7mer-m8,"-0,02",26,"-0,02",0,N/A
hsa-miR-9500,1707-1713,7mer-1A,"-0,03",52,"-0,02",0,N/A
hsa-miR-6750-5p,1707-1713,7mer-1A,"-0,01",47,"-0,01",0,N/A
hsa-miR-6822-5p,1707-1713,7mer-1A,"-0,01",47,"-0,01",0,N/A
hsa-miR-5584-5p,1707-1713,7mer-1A,"-0,01",23,"-0,01",0,N/A
hsa-miR-3135a,1710-1716,7mer-m8,"-0,19",77,"-0,17",0,N/A
hsa-miR-6805-5p,1715-1721,7mer-m8,"-0,19",77,"-0,16",0,N/A
hsa-miR-3179,1717-1723,7mer-m8,"-0,02",33,"-0,02",0,N/A
hsa-miR-3202,1718-1724,7mer-m8,"-0,03",49,"-0,03",0,N/A
hsa-miR-4476,1719-1726,8mer,"-0,09",79,"-0,08",0,N/A
hsa-miR-6876-5p,1719-1726,8mer,"-0,06",72,"-0,05",0,N/A
hsa-miR-4419b,1727-1733,7mer-m8,"-0,11",95,"-0,1",0,N/A
hsa-miR-4478,1727-1733,7mer-m8,"-0,1",94,"-0,09",0,N/A
hsa-miR-3929,1727-1733,7mer-m8,"-0,07",91,"-0,06",0,N/A
hsa-miR-6884-5p,1728-1734,7mer-m8,"-0,23",92,"-0,2","1,269",N/A
hsa-miR-485-5p,1728-1734,7mer-m8,"-0,2",90,"-0,18","1,269",N/A
hsa-miR-6866-5p,1730-1736,7mer-m8,"-0,34",95,"-0,29",0,N/A
hsa-miR-4451,1732-1738,7mer-m8,"-0,2",81,"-0,18",0,N/A
hsa-miR-3927-3p,1733-1740,8mer,"-0,28",94,"-0,24","0,048",N/A
hsa-miR-6831-5p,1733-1740,8mer,"-0,22",90,"-0,19","0,048",N/A
hsa-miR-196b-5p,1734-1740,7mer-1A,"-0,14",82,"-0,12","0,16",< 0.1
hsa-miR-196a-5p,1734-1740,7mer-1A,"-0,13",80,"-0,11","0,16",< 0.1
hsa-miR-6509-5p,1735-1742,8mer,"-0,13",71,"-0,11",0,N/A
hsa-miR-331-5p,1735-1741,7mer-1A,"-0,06",55,"-0,05","0,048",N/A
hsa-miR-103a-2-5p,1741-1747,7mer-m8,"-0,07",69,"-0,06",0,N/A
hsa-miR-3927-5p,1750-1756,7mer-1A,"-0,12",74,"-0,11",0,N/A
hsa-miR-337-3p,1751-1757,7mer-1A,"-0,1",70,"-0,09","0,013",N/A
hsa-miR-202-5p,1751-1757,7mer-1A,"-0,05",57,"-0,05","0,032",< 0.1
hsa-miR-7162-5p,1753-1759,7mer-m8,"-0,17",85,"-0,15","0,013",N/A
hsa-miR-516a-3p,1753-1759,7mer-m8,"-0,14",80,"-0,12","0,013",N/A
hsa-miR-516b-3p,1753-1759,7mer-m8,"-0,14",80,"-0,12","0,013",N/A
hsa-miR-5579-3p,1756-1762,7mer-1A,"-0,04",37,"-0,03",0,N/A
hsa-miR-218-5p,1761-1767,7mer-m8,"-0,04",57,"-0,04","1,16",< 0.1
hsa-miR-636,1761-1767,7mer-1A,"-0,06",56,"-0,05","0,048",N/A
hsa-miR-6737-3p,1762-1768,7mer-m8,"-0,12",81,"-0,1","0,376",N/A
hsa-miR-5008-3p,1762-1768,7mer-m8,"-0,07",69,"-0,06","0,376",N/A
hsa-miR-7157-3p,1762-1768,7mer-m8,"-0,07",67,"-0,06","0,376",N/A
hsa-miR-7974,1764-1771,8mer,"-0,23",87,"-0,2",0,N/A
hsa-miR-4687-3p,1765-1771,7mer-1A,"-0,01",19,"-0,01",0,N/A
hsa-miR-889-5p,1766-1772,7mer-m8,"-0,14",78,"-0,12",0,N/A
hsa-miR-7153-3p,1769-1775,7mer-m8,"-0,12",83,"-0,11",0,N/A
hsa-miR-150-5p,1775-1781,7mer-m8,"-0,02",37,"-0,02","0,453",< 0.1
hsa-miR-6778-3p,1777-1783,7mer-m8,"-0,21",89,"-0,18",0,N/A
hsa-miR-6819-3p,1779-1785,7mer-1A,"-0,14",90,"-0,12",0,N/A
hsa-miR-6877-3p,1779-1785,7mer-1A,"-0,14",90,"-0,12",0,N/A
hsa-miR-3651,1781-1787,7mer-1A,"-0,08",60,"-0,07",0,N/A
hsa-miR-8061,1787-1793,7mer-1A,"-0,01",25,"-0,01",0,N/A
hsa-miR-4760-5p,1787-1793,7mer-1A,"-0,01",23,"-0,01",0,N/A
hsa-miR-27b-5p,1792-1798,7mer-1A,"-0,18",86,"-0,16","0,048",N/A
hsa-miR-556-5p,1793-1799,7mer-m8,"-0,1",82,"-0,08",0,N/A
hsa-miR-6802-3p,1802-1808,7mer-m8,"-0,2",85,"-0,17",0,N/A
hsa-miR-1247-3p,1809-1815,7mer-m8,"-0,13",54,"-0,11",0,N/A
hsa-miR-5587-3p,1810-1816,7mer-m8,"-0,19",80,"-0,17",0,N/A
hsa-miR-4490,1817-1823,7mer-m8,"-0,02",12,"-0,02",0,N/A
hsa-miR-133a-5p,1818-1824,7mer-m8,"-0,04",35,"-0,04","0,048",N/A
hsa-miR-6126,1823-1829,7mer-m8,"-0,04",76,"-0,04",0,N/A
hsa-miR-605-3p,1823-1829,7mer-1A,"-0,08",54,"-0,07",0,N/A
hsa-miR-4493,1823-1829,7mer-1A,"-0,03",40,"-0,02",0,N/A
hsa-miR-512-3p,1828-1834,7mer-m8,"-0,11",81,"-0,1","0,054",N/A
hsa-miR-504-3p,1830-1836,7mer-m8,"-0,15",85,"-0,13",0,N/A
hsa-miR-4419a,1833-1839,7mer-m8,"-0,2",85,"-0,18","0,054",N/A
hsa-miR-4510,1833-1839,7mer-m8,"-0,18",81,"-0,16","0,054",N/A
hsa-miR-6129,1833-1839,7mer-m8,"-0,18",81,"-0,16","0,054",N/A
hsa-miR-6130,1833-1839,7mer-m8,"-0,18",81,"-0,16","0,054",N/A
hsa-miR-6127,1833-1839,7mer-m8,"-0,18",80,"-0,16","0,054",N/A
hsa-miR-6133,1833-1839,7mer-m8,"-0,18",80,"-0,16","0,054",N/A
hsa-miR-6873-5p,1834-1841,8mer,"-0,21",90,"-0,18",0,N/A
hsa-miR-520g-5p,1836-1842,7mer-m8,"-0,1",71,"-0,09","0,013",N/A
hsa-miR-449c-3p,1839-1845,7mer-1A,"-0,06",55,"-0,05",0,N/A
hsa-miR-609,1844-1850,7mer-m8,"-0,07",52,"-0,06","0,054",N/A
hsa-miR-6747-5p,1845-1852,8mer,"-0,35",97,"-0,3",0,N/A
hsa-miR-6812-5p,1846-1852,7mer-m8,"-0,27",91,"-0,23",0,N/A
hsa-miR-6819-5p,1846-1852,7mer-m8,"-0,25",90,"-0,21",0,N/A
hsa-miR-6737-5p,1846-1852,7mer-m8,"-0,25",90,"-0,21",0,N/A
hsa-miR-342-5p,1846-1852,7mer-1A,"-0,1",72,"-0,09","0,048",N/A
hsa-miR-4664-5p,1846-1852,7mer-1A,"-0,08",71,"-0,07","0,048",N/A
hsa-miR-608,1846-1852,7mer-1A,"-0,16",57,"-0,13",0,N/A
hsa-miR-4651,1846-1852,7mer-1A,"-0,13",52,"-0,11",0,N/A
hsa-miR-6890-5p,1847-1853,7mer-m8,"-0,2",89,"-0,18",0,N/A
hsa-miR-3123,1852-1858,7mer-m8,"-0,02",58,"-0,02",0,N/A
hsa-miR-605-5p,1868-1874,7mer-m8,"-0,02",58,"-0,02","0,013",N/A
hsa-miR-548m,1876-1882,7mer-m8,"-0,02",37,"-0,02",0,N/A
hsa-miR-6730-5p,1877-1883,7mer-m8,"-0,03",56,"-0,03",0,N/A
hsa-miR-3978,1879-1885,7mer-m8,"-0,02",64,"-0,02",0,N/A
hsa-miR-194-3p,1883-1889,7mer-1A,"-0,09",76,"-0,07",0,N/A
hsa-miR-5693,1883-1889,7mer-1A,"-0,01",43,"-0,01",0,N/A
hsa-miR-4306,1893-1899,7mer-1A,"-0,07",61,"-0,06","1,27",N/A
hsa-miR-185-5p,1893-1899,7mer-1A,"-0,07",60,"-0,06","1,27",N/A
hsa-miR-5192,1893-1899,7mer-1A,"-0,02",38,"-0,02",0,N/A
hsa-miR-4644,1893-1899,7mer-1A,"-0,03",31,"-0,02","1,27",N/A
hsa-miR-4533,1903-1909,7mer-m8,"-0,06",61,"-0,05",0,N/A
hsa-miR-4747-5p,1904-1910,7mer-m8,"-0,21",88,"-0,18",0,N/A
hsa-miR-5196-5p,1904-1910,7mer-m8,"-0,21",88,"-0,18",0,N/A
hsa-miR-9500,1905-1912,8mer,"-0,17",90,"-0,15",0,N/A
hsa-miR-5584-5p,1906-1912,7mer-1A,"-0,09",77,"-0,08",0,N/A
hsa-miR-6822-5p,1906-1912,7mer-1A,"-0,04",70,"-0,03",0,N/A
hsa-miR-6750-5p,1906-1912,7mer-1A,"-0,03",63,"-0,02",0,N/A
hsa-miR-548m,1911-1917,7mer-m8,"-0,02",37,"-0,02",0,N/A
hsa-miR-6730-5p,1912-1919,8mer,"-0,22",96,"-0,19",0,N/A
hsa-miR-488-3p,1913-1919,7mer-m8,"-0,11",85,"-0,09","0,543",N/A
hsa-miR-5681a,1913-1919,7mer-1A,"-0,13",84,"-0,12",0,N/A
hsa-miR-4659b-5p,1918-1925,8mer,"-0,29",96,"-0,25",0,N/A
hsa-miR-4659a-5p,1918-1925,8mer,"-0,31",96,"-0,26",0,N/A
hsa-miR-5590-5p,1919-1925,7mer-1A,"-0,1",74,"-0,09",0,N/A
hsa-miR-4776-3p,1919-1925,7mer-m8,"-0,09",73,"-0,08",0,N/A
hsa-miR-548l,1925-1931,7mer-m8,"-0,02",58,"-0,02","0,013",N/A
hsa-miR-3973,1926-1932,7mer-m8,"-0,02",42,"-0,02",0,N/A
hsa-miR-3926,1929-1935,7mer-m8,"-0,1",71,"-0,08",0,N/A
hsa-miR-1972,1931-1937,7mer-m8,"-0,15",84,"-0,13","0,048",N/A
hsa-miR-6893-5p,1934-1940,7mer-m8,"-0,08",75,"-0,07","0,054",N/A
hsa-miR-6808-5p,1934-1940,7mer-m8,"-0,08",75,"-0,07","0,054",N/A
hsa-miR-940,1934-1940,7mer-m8,"-0,07",70,"-0,06","0,054",N/A
hsa-miR-1827,1935-1941,7mer-m8,"-0,1",65,"-0,09","0,013",N/A
hsa-miR-6753-5p,1946-1952,7mer-1A,"-0,21",89,"-0,18",0,N/A
hsa-miR-1911-3p,1946-1952,7mer-1A,"-0,13",77,"-0,11",0,N/A
hsa-miR-624-5p,1948-1955,8mer,"-0,26",89,"-0,22",0,N/A
hsa-miR-676-5p,1957-1963,7mer-m8,"-0,07",85,"-0,06",0,N/A
hsa-miR-3682-5p,1960-1966,7mer-1A,"-0,03",46,"-0,02",0,N/A
hsa-miR-27b-5p,1966-1972,7mer-1A,"-0,11",70,"-0,09",0,N/A
hsa-miR-4792,1968-1974,7mer-m8,"-0,2",89,"-0,17",0,N/A
hsa-miR-548ao-5p,1977-1983,7mer-m8,"-0,04",35,"-0,03","0,048",N/A
hsa-miR-548ax,1977-1983,7mer-m8,"-0,04",35,"-0,03","0,048",N/A
hsa-miR-9500,1980-1987,8mer,"-0,31",98,"-0,26",0,N/A
hsa-miR-6750-5p,1981-1987,7mer-1A,"-0,14",90,"-0,12",0,N/A
hsa-miR-5584-5p,1981-1987,7mer-1A,"-0,12",83,"-0,1",0,N/A
hsa-miR-6822-5p,1981-1987,7mer-1A,"-0,05",76,"-0,04",0,N/A
hsa-miR-5697,1985-1992,8mer,"-0,16",92,"-0,14",0,N/A
hsa-miR-4465,1986-1993,8mer,"-0,06",37,"-0,05","1,291",< 0.1
hsa-miR-26a-5p,1986-1993,8mer,"-0,04",35,"-0,03","1,291",< 0.1
hsa-miR-1297,1986-1993,8mer,"-0,04",34,"-0,03","1,291",< 0.1
hsa-miR-26b-5p,1986-1993,8mer,"-0,04",34,"-0,03","1,291",< 0.1
hsa-miR-498,1988-1994,7mer-1A,"-0,01",48,"-0,01","0,054",N/A
hsa-miR-759,2000-2006,7mer-1A,"-0,06",81,"-0,05","0,054",N/A
hsa-miR-24-3p,2003-2009,7mer-m8,"-0,18",90,"-0,16","1,535","0,21"
hsa-miR-3922-5p,2007-2013,7mer-1A,"-0,06",68,"-0,05",0,N/A
hsa-miR-4474-3p,2019-2025,7mer-m8,"-0,19",86,"-0,16",0,N/A
hsa-miR-4318,2021-2027,7mer-m8,"-0,07",68,"-0,06",0,N/A
hsa-miR-6760-3p,2023-2029,7mer-1A,"-0,01",39,"-0,01",0,N/A
hsa-miR-1208,2023-2029,7mer-1A,"-0,01",32,"-0,01","0,013",N/A
hsa-miR-1304-3p,2024-2030,7mer-m8,"-0,03",64,"-0,03",0,N/A
hsa-miR-505-3p.2,2034-2040,7mer-1A,"-0,01",46,"-0,01","0,511",N/A
hsa-miR-421,2034-2040,7mer-1A,"-0,02",36,"-0,02","0,511",N/A
hsa-miR-7159-5p,2034-2040,7mer-1A,"-0,01",20,"-0,01",0,N/A
hsa-miR-676-5p,2035-2041,7mer-m8,"-0,04",79,"-0,04",0,N/A
hsa-miR-3914,2041-2047,7mer-m8,"-0,18",89,"-0,15",0,N/A
hsa-miR-873-5p.1,2042-2048,7mer-m8,"-0,02",74,"-0,02","0,041",N/A
hsa-miR-873-5p.2,2043-2049,7mer-m8,"-0,07",63,"-0,06","0,041",N/A
hsa-miR-6165,2044-2050,7mer-m8,"-0,06",60,"-0,05",0,N/A
hsa-miR-761,2045-2051,7mer-m8,"-0,1",88,"-0,08","0,013",N/A
hsa-miR-214-3p,2045-2051,7mer-m8,"-0,15",88,"-0,13","0,013",N/A
hsa-miR-3619-5p,2045-2051,7mer-m8,"-0,15",88,"-0,13","0,013",N/A
hsa-miR-4530,2046-2052,7mer-m8,"-0,14",85,"-0,12",0,N/A
hsa-miR-634,2047-2053,7mer-m8,"-0,21",90,"-0,18","0,013",N/A
hsa-miR-497-3p,2050-2056,7mer-1A,"-0,01",55,"-0,01","0,048",N/A
hsa-miR-6507-5p,2055-2061,7mer-m8,"-0,02",78,"-0,02",0,N/A
hsa-miR-186-5p,2056-2062,7mer-m8,"-0,02",73,"-0,02","0,092",N/A
hsa-miR-4668-5p,2059-2070,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-4668-5p,2059-2070,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-6888-3p,2079-2085,7mer-m8,"-0,07",70,"-0,06",0,N/A
hsa-miR-3120-5p,2079-2085,7mer-1A,"-0,04",63,"-0,04",0,N/A
hsa-miR-3664-5p,2081-2087,7mer-m8,"-0,07",74,"-0,06",0,N/A
hsa-miR-4522,2082-2088,7mer-m8,"-0,21",90,"-0,18",0,N/A
hsa-miR-3672,2085-2091,7mer-m8,"-0,09",78,"-0,08",0,N/A
hsa-miR-6864-3p,2085-2091,7mer-m8,"-0,02",53,"-0,02",0,N/A
hsa-miR-873-3p,2085-2091,7mer-1A,"-0,01",30,"-0,01",0,N/A
hsa-miR-5586-3p,2089-2095,7mer-m8,"-0,02",24,"-0,02",0,N/A
hsa-miR-759,2090-2096,7mer-m8,"-0,03",68,"-0,02","0,013",N/A
hsa-miR-4797-5p,2091-2097,7mer-m8,"-0,02",63,"-0,02",0,N/A
hsa-miR-196a-3p,2095-2101,7mer-m8,"-0,05",39,"-0,05",0,N/A
hsa-miR-1285-3p,2098-2104,7mer-m8,"-0,19",90,"-0,16","0,013",N/A
hsa-miR-6860,2098-2104,7mer-m8,"-0,11",77,"-0,1","0,013",N/A
hsa-miR-3187-5p,2098-2104,7mer-m8,"-0,11",76,"-0,09","0,013",N/A
hsa-miR-5189-5p,2098-2104,7mer-m8,"-0,1",76,"-0,09","0,013",N/A
hsa-miR-612,2098-2104,7mer-m8,"-0,05",72,"-0,04","0,013",N/A
hsa-miR-939-3p,2099-2105,7mer-m8,"-0,15",85,"-0,13",0,N/A
hsa-miR-661,2100-2106,7mer-m8,"-0,14",77,"-0,12","0,013",N/A
hsa-miR-6849-3p,2103-2110,8mer,"-0,06",66,"-0,05",0,N/A
hsa-miR-6512-3p,2104-2110,7mer-m8,"-0,12",77,"-0,1",0,N/A
hsa-miR-6720-5p,2104-2110,7mer-m8,"-0,1",73,"-0,09",0,N/A
hsa-miR-766-3p,2105-2111,7mer-m8,"-0,1",81,"-0,09","0,013",N/A
hsa-miR-508-5p,2106-2112,7mer-m8,"-0,02",54,"-0,02",0,N/A
hsa-miR-7703,2109-2115,7mer-m8,"-0,05",70,"-0,05",0,N/A
hsa-miR-4793-3p,2110-2116,7mer-m8,"-0,02",36,"-0,02",0,N/A
hsa-miR-1273g-3p,2113-2119,7mer-m8,"-0,13",80,"-0,11",0,N/A
hsa-miR-4252,2114-2121,8mer,"-0,03",53,"-0,03",0,N/A
hsa-miR-1227-3p,2116-2122,7mer-m8,"-0,07",61,"-0,06","0,013",N/A
hsa-miR-4523,2125-2131,7mer-m8,"-0,17",78,"-0,15",0,N/A
hsa-miR-6499-3p,2133-2139,7mer-1A,"-0,03",59,"-0,02",0,N/A
hsa-miR-455-3p.2,2134-2140,7mer-1A,"-0,01",46,"-0,01","0,077",< 0.1
hsa-miR-6516-5p,2134-2140,7mer-m8,"-0,02",34,"-0,02",0,N/A
hsa-miR-4327,2136-2142,7mer-m8,"-0,02",16,"-0,02",0,N/A
hsa-miR-25-5p,2142-2148,7mer-m8,"-0,24",73,"-0,21",0,N/A
hsa-miR-6087,2144-2150,7mer-m8,"-0,18",57,"-0,15",0,N/A
hsa-miR-1247-3p,2149-2155,7mer-m8,"-0,17",66,"-0,15",0,N/A
hsa-miR-3622b-5p,2158-2164,7mer-1A,"-0,14",76,"-0,12",0,N/A
hsa-miR-5197-5p,2160-2166,7mer-m8,"-0,02",22,"-0,02",0,N/A
hsa-miR-4768-3p,2166-2172,7mer-m8,"-0,06",71,"-0,05",0,N/A
hsa-miR-4722-5p,2167-2173,7mer-m8,"-0,1",76,"-0,08",0,N/A
hsa-miR-6808-5p,2169-2175,7mer-m8,"-0,13",84,"-0,11","0,013",N/A
hsa-miR-940,2169-2175,7mer-m8,"-0,11",82,"-0,1","0,013",N/A
hsa-miR-6893-5p,2169-2175,7mer-m8,"-0,11",80,"-0,1","0,013",N/A
hsa-miR-1827,2170-2177,8mer,"-0,1",63,"-0,08","0,013",N/A
hsa-miR-4649-3p,2172-2178,7mer-m8,"-0,11",83,"-0,1",0,N/A
hsa-miR-7160-5p,2173-2179,7mer-m8,"-0,07",63,"-0,06",0,N/A
hsa-miR-665,2173-2184,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-665,2173-2184,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-3929,2175-2181,7mer-m8,"-0,02",54,"-0,02",0,N/A
hsa-miR-4478,2175-2181,7mer-m8,"-0,02",54,"-0,02",0,N/A
hsa-miR-4419b,2175-2181,7mer-m8,"-0,02",54,"-0,02",0,N/A
hsa-miR-6884-5p,2176-2182,7mer-m8,"-0,1",61,"-0,08","0,077",N/A
hsa-miR-485-5p,2176-2182,7mer-m8,"-0,09",59,"-0,07","0,077",N/A
hsa-miR-1273h-5p,2179-2186,8mer,"-0,2",84,"-0,17",0,N/A
hsa-miR-3689b-3p,2179-2186,8mer,"-0,17",82,"-0,15",0,N/A
hsa-miR-3689c,2179-2186,8mer,"-0,17",82,"-0,15",0,N/A
hsa-miR-3689a-3p,2179-2186,8mer,"-0,17",82,"-0,15",0,N/A
hsa-miR-6780a-5p,2179-2186,8mer,"-0,17",81,"-0,14",0,N/A
hsa-miR-30b-3p,2179-2186,8mer,"-0,16",81,"-0,14",0,N/A
hsa-miR-6779-5p,2179-2186,8mer,"-0,17",80,"-0,15",0,N/A
hsa-miR-6799-5p,2179-2185,7mer-1A,"-0,07",80,"-0,06",0,N/A
hsa-miR-4728-5p,2179-2185,7mer-1A,"-0,15",78,"-0,13",0,N/A
hsa-miR-149-3p,2179-2185,7mer-1A,"-0,11",69,"-0,1",0,N/A
hsa-miR-7106-5p,2179-2185,7mer-1A,"-0,08",66,"-0,07",0,N/A
hsa-miR-6883-5p,2179-2185,7mer-1A,"-0,08",62,"-0,07",0,N/A
hsa-miR-6785-5p,2179-2185,7mer-1A,"-0,05",58,"-0,05",0,N/A
hsa-miR-30c-2-3p,2180-2186,7mer-1A,"-0,1",79,"-0,09",0,N/A
hsa-miR-30c-1-3p,2180-2186,7mer-1A,"-0,08",74,"-0,07",0,N/A
hsa-miR-6788-5p,2180-2186,7mer-1A,"-0,09",73,"-0,08",0,N/A
hsa-miR-887-5p,2180-2186,7mer-m8,"-0,02",27,"-0,02",0,N/A
hsa-miR-890,2183-2189,7mer-1A,"-0,05",55,"-0,04","0,013",N/A
hsa-miR-5690,2187-2193,7mer-m8,"-0,02",43,"-0,02",0,N/A
hsa-miR-7977,2190-2196,7mer-m8,"-0,02",57,"-0,02",0,N/A
hsa-miR-5588-3p,2192-2199,8mer,"-0,07",57,"-0,06",0,N/A
hsa-miR-2114-5p,2193-2199,7mer-1A,"-0,07",71,"-0,06",0,N/A
hsa-miR-20b-3p,2196-2202,7mer-m8,"-0,02",30,"-0,02",0,N/A
hsa-miR-6811-3p,2199-2205,7mer-1A,"-0,1",70,"-0,09",0,N/A
hsa-miR-6514-3p,2199-2205,7mer-m8,"-0,03",59,"-0,03",0,N/A
hsa-miR-214-5p,2199-2205,7mer-1A,"-0,01",32,"-0,01",0,< 0.1
hsa-miR-550a-3-5p,2200-2206,7mer-m8,"-0,09",57,"-0,08",0,N/A
hsa-miR-550a-5p,2200-2206,7mer-m8,"-0,09",56,"-0,08",0,N/A
hsa-miR-1271-3p,2200-2206,7mer-m8,"-0,09",55,"-0,08",0,N/A
hsa-miR-764,2203-2209,7mer-m8,"-0,02",67,"-0,02",0,N/A
hsa-miR-3665,2204-2210,7mer-m8,"-0,02",21,"-0,02",0,N/A
hsa-miR-4736,2205-2212,8mer,"-0,12",84,"-0,1",0,N/A
hsa-miR-4763-3p,2206-2212,7mer-1A,"-0,06",60,"-0,05",0,N/A
hsa-miR-7150,2206-2212,7mer-m8,"-0,06",58,"-0,05",0,N/A
hsa-miR-1207-5p,2206-2212,7mer-1A,"-0,05",56,"-0,04",0,N/A
hsa-miR-4755-3p,2217-2223,7mer-m8,"-0,22",88,"-0,19",0,N/A
hsa-miR-575,2219-2225,7mer-1A,"-0,04",77,"-0,03","0,013",N/A
hsa-miR-4676-5p,2219-2225,7mer-1A,"-0,02",58,"-0,01","0,013",N/A
hsa-miR-6858-3p,2219-2225,7mer-1A,"-0,01",51,"-0,01",0,N/A
hsa-miR-4662a-5p,2220-2226,7mer-1A,"-0,06",47,"-0,05",0,N/A
hsa-miR-3613-3p,2227-2233,7mer-m8,"-0,02",36,"-0,02",0,N/A
hsa-miR-548c-3p,2235-2241,7mer-1A,"-0,01",57,"-0,01","0,013",N/A
hsa-miR-4684-5p,2242-2248,7mer-m8,"-0,09",76,"-0,08",0,N/A
hsa-miR-340-3p,2245-2251,7mer-m8,"-0,28",76,"-0,24",0,N/A
hsa-miR-6827-3p,2245-2251,7mer-m8,"-0,23",69,"-0,2",0,N/A
hsa-miR-433-5p,2255-2261,7mer-m8,"-0,2",78,"-0,17",0,N/A
hsa-miR-6502-3p,2272-2278,7mer-m8,"-0,03",56,"-0,02",0,N/A
hsa-miR-4786-5p,2273-2279,7mer-m8,"-0,03",33,"-0,03",0,N/A
hsa-miR-4683,2280-2286,7mer-m8,"-0,16",89,"-0,14",0,N/A
hsa-miR-6888-5p,2281-2287,7mer-m8,"-0,02",42,"-0,02",0,N/A
hsa-miR-4768-3p,2282-2289,8mer,"-0,15",91,"-0,13",0,N/A
hsa-miR-4459,2283-2289,7mer-1A,"-0,08",77,"-0,07",0,N/A
hsa-miR-4433a-3p,2283-2289,7mer-1A,"-0,02",50,"-0,01","0,013",N/A
hsa-miR-3974,2287-2293,7mer-m8,"-0,02",12,"-0,02",0,N/A
hsa-miR-624-3p,2289-2295,7mer-m8,"-0,02",40,"-0,02","0,013",N/A
hsa-miR-4457,2290-2296,7mer-m8,"-0,02",41,"-0,02",0,N/A
hsa-miR-1228-5p,2299-2305,7mer-m8,"-0,22",83,"-0,19",0,N/A
hsa-miR-654-5p,2301-2307,7mer-m8,"-0,15",83,"-0,13",0,N/A
hsa-miR-541-3p,2301-2307,7mer-m8,"-0,13",80,"-0,11",0,N/A
hsa-miR-6134,2303-2310,8mer,"-0,07",52,"-0,06","0,013",N/A
hsa-miR-7854-3p,2304-2310,7mer-1A,"-0,03",29,"-0,02",0,N/A
hsa-miR-7162-3p,2305-2311,7mer-m8,"-0,02",52,"-0,02",0,N/A
hsa-miR-7160-5p,2306-2312,7mer-m8,"-0,13",81,"-0,11",0,N/A
hsa-miR-4419b,2308-2314,7mer-m8,"-0,02",54,"-0,02",0,N/A
hsa-miR-3929,2308-2314,7mer-m8,"-0,02",54,"-0,02",0,N/A
hsa-miR-4478,2308-2314,7mer-m8,"-0,02",54,"-0,02",0,N/A
hsa-miR-6884-5p,2309-2315,7mer-m8,"-0,15",79,"-0,13","0,024",N/A
hsa-miR-485-5p,2309-2315,7mer-m8,"-0,12",71,"-0,1","0,024",N/A
hsa-miR-6779-5p,2312-2319,8mer,"-0,21",87,"-0,19",0,N/A
hsa-miR-30b-3p,2312-2319,8mer,"-0,2",86,"-0,17",0,N/A
hsa-miR-3689b-3p,2312-2319,8mer,"-0,2",86,"-0,17",0,N/A
hsa-miR-3689a-3p,2312-2319,8mer,"-0,2",86,"-0,17",0,N/A
hsa-miR-3689c,2312-2319,8mer,"-0,2",86,"-0,17",0,N/A
hsa-miR-1273h-5p,2312-2319,8mer,"-0,21",85,"-0,18",0,N/A
hsa-miR-6799-5p,2312-2318,7mer-1A,"-0,07",82,"-0,06",0,N/A
hsa-miR-6780a-5p,2312-2319,8mer,"-0,17",81,"-0,15",0,N/A
hsa-miR-149-3p,2312-2318,7mer-1A,"-0,16",80,"-0,14",0,N/A
hsa-miR-6883-5p,2312-2318,7mer-1A,"-0,12",74,"-0,11",0,N/A
